CÓD. INTERNO,PRODUTO,CÓD. DE BARRAS,NCM,PRODUTO,UTL,FYEL,TAMANHO,EMBALAGEM,PESO COM EMBALAGEM gm,CUSTO,VENDA SHOPEE LOJA UTL,VALOR QUE SOBRA APÓS COMISSÃO E TAXAS SHOPEE – IMPOSTO,VALOR LUCRO – IMPOSTO 6%,IMPOSTO,MARGEM EM %,FERNANDO PET MERCADO LIVRE
CÓD.0263,,7897175610263,5206.32.00,COLEIRA GATO NEON COM PINGENTE MIX + PLACA,,,,CARTELA C/10,107gm,R$ 14.25,R$ 39.90,R$ 25.53,R$ 11.28,R$ 2.39,79%,
CÓD.0247,,7897175630247,5206.32.00,COLEIRA GATO NEON COM PINGENTE CARA DE GATA,,,,CARTELA C/10,67gm,R$ 9.85,R$ 29.90,R$ 18.13,R$ 8.28,R$ 1.79,84%,R$ 32.89
CÓD.0248,,7897175620248,5206.32.00,COLEIRA GATO NEON COM PINGENTE COROINHA,,,,CARTELA C/10,67gm,R$ 9.85,R$ 29.90,R$ 18.13,R$ 8.28,R$ 1.79,84%,R$ 32.89
CÓD.0249,,7897175610249,5206.32.00,COLEIRA GATO NEON COM PINGENTE CORAÇÃO,,,,CARTELA C/10,67gm,R$ 9.85,R$ 29.90,R$ 18.13,R$ 8.28,R$ 1.79,84%,R$ 32.89
CÓD.0250,,7897175670250,5206.32.00,COLEIRA GATO NEON COM PINGENTE MIX,,,,CARTELA C/10,67gm,R$ 9.85,R$ 29.90,R$ 18.13,R$ 8.28,R$ 1.79,84%,R$ 32.89
"CONJUNTO GUIA E PEITORAL AJUSTÁVEL PARA COELHO, CHINCHILA E CALOPSITA",,,,,,,,,,,,,,,,
CÓD.0112,,7897175680112,5206.32.00,PEITORAL COLEHO/CHINCHILA SEDA/NYLON 10MM LUXO P,,,P,UNITÁRIO,56gm,R$ 3.89,R$ 24.99,R$ 14.49,R$ 10.60,R$ 1.50,273%,R$ 27.49
CÓD.0113,,7897175670113,5206.32.00,PEITORAL COLEHO/CHINCHILA SEDA/NYLON 10MM LUXO M,,,M,UNITÁRIO,58gm,R$ 3.95,R$ 25.99,R$ 15.23,R$ 11.28,R$ 1.56,286%,R$ 28.59
-4,,,,,,,,,,,,,,,,
CÓD.0302,,7897175640302,5206.32.00,PEITORAL COELHO/CHINCHILA SEDA 10MM P,,,P,UNITÁRIO,48gm,R$ 3.64,R$ 18.90,R$ 9.99,R$ 6.35,R$ 1.13,174%,R$ 20.79
CÓD.0303,,7897175600303,5206.32.00,PEITORAL COELHO/CHINCHILA SEDA 10MM M,,,M,UNITÁRIO,50gn,R$ 3.74,R$ 19.90,R$ 10.73,R$ 6.99,R$ 1.19,187%,R$ 21.89
-4,,,,,,,,,,,,,,,,
CÓD.0111,,7897175690111,5206.32.00,PEITORAL CALOPSITA NYLON 10MM ,,,ÚNICO,UNITÁRIO,43gm,R$ 3.03,R$ 23.99,R$ 13.75,R$ 10.72,R$ 1.44,354%,R$ 26.39
CONJUNTO GUIA E PEITORAL AJUSTÁVEL PARA GATO,,,,,,,,,,,,,,,,
CÓD. 0098,,7897175690098,5206.32.00,PEITORAL GATO SEDA/NYLON 10MM LUXO P,,,P,UNITÁRIO,56gm,R$ 4.58,R$ 23.49,R$ 13.38,R$ 8.80,R$ 1.41,192%,R$ 25.84
CÓD. 0099,,7897175680099,5206.32.00,PEITORAL GATO SEDA/NYLON 10MM LUXO M,,,M,UNITÁRIO,58gm,R$ 4.65,R$ 23.99,R$ 13.75,R$ 9.10,R$ 1.44,196%,R$ 26.39
